,step,mnist-acc,mnistm-acc,domain-acc
351,3510.0,0.96875,0.53125,0.90625
352,3520.0,0.96875,0.6875,0.890625
353,3530.0,0.96875,0.65625,0.828125
354,3540.0,1.0,0.75,0.8125
355,3550.0,1.0,0.59375,0.84375
356,3560.0,0.96875,0.625,0.890625
357,3570.0,0.96875,0.53125,0.90625
358,3580.0,1.0,0.75,0.859375
359,3590.0,0.96875,0.5625,0.84375
360,3600.0,0.96875,0.71875,0.84375
361,3610.0,1.0,0.6875,0.859375
362,3620.0,1.0,0.6875,0.875
363,3630.0,0.96875,0.59375,0.875
364,3640.0,1.0,0.71875,0.859375
365,3650.0,0.9375,0.59375,0.859375
366,3660.0,1.0,0.71875,0.875
367,3670.0,0.96875,0.59375,0.828125
368,3680.0,1.0,0.59375,0.84375
369,3690.0,1.0,0.71875,0.921875
370,3700.0,0.9375,0.8125,0.84375
371,3710.0,1.0,0.625,0.9375
372,3720.0,1.0,0.59375,0.859375
373,3730.0,1.0,0.65625,0.859375
374,3740.0,0.96875,0.71875,0.875
375,3750.0,1.0,0.84375,0.90625
376,3760.0,1.0,0.75,0.875
377,3770.0,1.0,0.71875,0.875
378,3780.0,0.96875,0.625,0.953125
379,3790.0,0.96875,0.75,0.828125
380,3800.0,0.96875,0.625,0.828125
381,3810.0,0.96875,0.59375,0.828125
382,3820.0,1.0,0.65625,0.828125
383,3830.0,1.0,0.6875,0.90625
384,3840.0,1.0,0.75,0.84375
385,3850.0,0.96875,0.71875,0.890625
386,3860.0,1.0,0.75,0.84375
387,3870.0,1.0,0.78125,0.796875
388,3880.0,1.0,0.65625,0.9375
389,3890.0,1.0,0.65625,0.859375
390,3900.0,0.9375,0.65625,0.8125
391,3910.0,1.0,0.53125,0.9375
392,3920.0,0.96875,0.46875,0.90625
393,3930.0,0.96875,0.5625,0.9375
394,3940.0,1.0,0.71875,0.890625
395,3950.0,0.96875,0.65625,0.859375
396,3960.0,1.0,0.8125,0.84375
397,3970.0,1.0,0.65625,0.9375
398,3980.0,1.0,0.8125,0.796875
399,3990.0,0.9375,0.75,0.890625
400,4000.0,1.0,0.53125,0.90625
401,4010.0,0.96875,0.5625,0.859375
402,4020.0,0.9375,0.6875,0.90625
403,4030.0,0.96875,0.5625,0.90625
404,4040.0,1.0,0.75,0.828125
405,4050.0,1.0,0.6875,0.828125
406,4060.0,0.96875,0.71875,0.859375
407,4070.0,1.0,0.90625,0.875
408,4080.0,1.0,0.6875,0.84375
409,4090.0,1.0,0.53125,0.921875
410,4100.0,1.0,0.65625,0.796875
411,4110.0,1.0,0.65625,0.828125
412,4120.0,1.0,0.6875,0.78125
413,4130.0,1.0,0.625,0.921875
414,4140.0,0.96875,0.625,0.765625
415,4150.0,1.0,0.71875,0.921875
416,4160.0,0.96875,0.71875,0.84375
417,4170.0,1.0,0.71875,0.84375
418,4180.0,1.0,0.65625,0.90625
419,4190.0,1.0,0.59375,0.859375
420,4200.0,1.0,0.65625,0.859375
421,4210.0,0.96875,0.71875,0.875
422,4220.0,1.0,0.71875,0.828125
423,4230.0,0.96875,0.78125,0.890625
424,4240.0,0.96875,0.6875,0.859375
425,4250.0,0.96875,0.5,0.8125
