,step,mnist-acc,mnistm-acc,domain-acc
492,4920.0,0.96875,0.5625,0.875
493,4930.0,0.90625,0.6875,0.890625
494,4940.0,0.9375,0.59375,0.875
495,4950.0,0.9375,0.53125,0.921875
496,4960.0,0.96875,0.59375,0.859375
497,4970.0,0.96875,0.53125,0.984375
498,4980.0,0.9375,0.46875,0.828125
499,4990.0,1.0,0.53125,0.828125
500,5000.0,1.0,0.625,0.859375
501,5010.0,1.0,0.5625,0.921875
502,5020.0,0.96875,0.71875,0.84375
503,5030.0,1.0,0.59375,0.921875
504,5040.0,0.96875,0.4375,0.9375
505,5050.0,1.0,0.625,0.828125
506,5060.0,0.9375,0.6875,0.890625
507,5070.0,1.0,0.59375,0.890625
508,5080.0,1.0,0.53125,0.859375
509,5090.0,0.9375,0.46875,0.84375
510,5100.0,1.0,0.53125,0.890625
511,5110.0,0.96875,0.53125,0.875
512,5120.0,1.0,0.46875,0.890625
513,5130.0,1.0,0.625,0.875
514,5140.0,0.96875,0.53125,0.921875
515,5150.0,0.96875,0.5625,0.890625
516,5160.0,1.0,0.53125,0.921875
517,5170.0,1.0,0.6875,0.9375
518,5180.0,0.96875,0.625,0.90625
519,5190.0,0.875,0.53125,0.90625
520,5200.0,1.0,0.71875,0.875
521,5210.0,1.0,0.625,0.921875
522,5220.0,0.9375,0.5625,0.859375
523,5230.0,1.0,0.53125,0.890625
524,5240.0,0.9375,0.6875,0.890625
525,5250.0,1.0,0.5625,0.90625
526,5260.0,0.96875,0.625,0.890625
527,5270.0,1.0,0.46875,0.859375
528,5280.0,0.96875,0.625,0.875
529,5290.0,1.0,0.6875,0.875
530,5300.0,0.96875,0.4375,0.921875
531,5310.0,0.96875,0.59375,0.828125
532,5320.0,0.9375,0.65625,0.859375
533,5330.0,0.96875,0.71875,0.859375
534,5340.0,0.96875,0.6875,0.84375
535,5350.0,1.0,0.78125,0.875
536,5360.0,0.96875,0.4375,0.90625
537,5370.0,0.9375,0.4375,0.875
538,5380.0,1.0,0.59375,0.9375
539,5390.0,1.0,0.625,0.84375
540,5400.0,1.0,0.46875,0.890625
541,5410.0,0.96875,0.65625,0.890625
542,5420.0,1.0,0.5,0.859375
543,5430.0,0.96875,0.65625,0.859375
544,5440.0,0.96875,0.5625,0.890625
545,5450.0,1.0,0.59375,0.96875
546,5460.0,1.0,0.625,0.859375
547,5470.0,1.0,0.59375,0.921875
548,5480.0,1.0,0.6875,0.8125
549,5490.0,0.9375,0.65625,0.875
550,5500.0,0.96875,0.71875,0.921875
551,5510.0,1.0,0.59375,0.875
552,5520.0,1.0,0.5,0.875
553,5530.0,0.9375,0.59375,0.875
554,5540.0,0.96875,0.375,0.8125
555,5550.0,0.9375,0.625,0.921875
556,5560.0,0.9375,0.78125,0.859375
557,5570.0,0.96875,0.53125,0.859375
558,5580.0,0.96875,0.5625,0.875
559,5590.0,0.96875,0.53125,0.890625
560,5600.0,0.96875,0.71875,0.8125
561,5610.0,0.96875,0.625,0.859375
562,5620.0,1.0,0.5,0.859375
563,5630.0,0.9375,0.53125,0.890625
564,5640.0,0.9375,0.53125,0.84375
565,5650.0,1.0,0.71875,0.90625
566,5660.0,1.0,0.46875,0.859375
567,5670.0,0.96875,0.65625,0.84375
568,5680.0,0.96875,0.65625,0.90625
569,5690.0,1.0,0.40625,0.953125
570,5700.0,1.0,0.59375,0.875
571,5710.0,0.96875,0.625,0.84375
572,5720.0,0.96875,0.5625,0.890625
573,5730.0,0.96875,0.84375,0.875
574,5740.0,1.0,0.5,0.953125
575,5750.0,1.0,0.625,0.859375
576,5760.0,1.0,0.53125,0.84375
577,5770.0,0.96875,0.5,0.859375
